City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,puerto natales,-51.7236,-72.4875,48.65,61.0,75.0,17.27,CL,1700262397.0
113,port hedland,-20.3167,118.5667,75.25,78.0,0.0,11.5,AU,1700262397.0
114,qa'en,33.7265,59.1844,55.72,63.0,100.0,1.45,IR,1700262398.0
115,porto empedocle,37.2934,13.5264,63.25,74.0,18.0,19.44,IT,1700262398.0
116,bam,29.106,58.357,61.79,53.0,3.0,1.23,IR,1700262398.0
117,campo gallo,-26.5833,-62.85,87.15,59.0,100.0,4.14,AR,1700262398.0
118,saint-paul,-21.0096,55.2707,73.99,99.0,8.0,6.6,RE,1700262399.0
119,san patricio,28.017,-97.5169,79.54,64.0,16.0,1.97,US,1700262399.0
120,kodiak,57.79,-152.4072,26.11,36.0,0.0,24.16,US,1700262400.0
121,as sulayyil,20.4607,45.5779,73.65,59.0,8.0,13.51,SA,1700262400.0
122,puerto ayora,-0.7393,-90.3518,80.56,96.0,65.0,10.0,EC,1700262400.0
123,new plymouth,-39.0667,174.0833,57.31,93.0,100.0,5.79,NZ,1700262401.0
124,falmouth,50.1544,-5.0711,54.5,100.0,100.0,18.41,GB,1700262106.0
125,georgetown,5.4112,100.3354,80.53,95.0,20.0,3.44,MY,1700262109.0
126,fortaleza,-3.7227,-38.5247,84.07,75.0,20.0,10.36,BR,1700262164.0
127,lihue,21.9789,-159.3672,81.64,67.0,88.0,13.98,US,1700262146.0
128,hermanus,-34.4187,19.2345,62.1,79.0,10.0,6.33,ZA,1700262402.0
129,malvan,16.0667,73.4667,77.11,59.0,74.0,5.26,IN,1700262402.0
130,shingu,33.7333,135.9833,50.77,73.0,20.0,9.42,JP,1700262402.0
131,pacasmayo,-7.4006,-79.5714,69.03,81.0,99.0,15.95,PE,1700262403.0
133,talnakh,69.4865,88.3972,7.21,96.0,100.0,6.89,RU,1700262404.0
134,isafjordur,66.0755,-23.124,33.4,92.0,49.0,6.49,IS,1700262404.0
135,boguchany,58.3814,97.4531,26.85,94.0,96.0,5.01,RU,1700262404.0
136,kitimat,54.0524,-128.6534,46.78,99.0,100.0,1.99,CA,1700262203.0
137,bethel,41.3712,-73.414,59.52,79.0,100.0,1.01,US,1700262405.0
138,lebu,-37.6167,-73.65,51.3,74.0,64.0,12.66,CL,1700262405.0
139,podgornoye,51.735,39.1496,33.66,86.0,100.0,8.95,RU,1700262405.0
140,tura,25.5198,90.2201,62.46,93.0,74.0,3.13,IN,1700262406.0
